Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,232.3,107.35,4.963,-0.34335,1.960e-2,0.0286,0.0106,5351.111,1.666e-4,1.666e-4,1.666e-4,0_1:7.148e-3,0_1:277.333
Q1,268.05,64.18,4.838,-0.34621,3.350e-2,0.035,0.032,5351.111,2.249e-4,2.249e-4,2.249e-4,1_0:7.148e-3; 1_2:1.618e-2,1_0:312.889; 1_2:469.333
Q2,141.08,22.98,5.037,-0.34366,1.225e-1,0.111,0.134,5351.111,4.453e-4,4.453e-4,4.453e-4,2_1:1.618e-2; 2_3:9.083e-3,2_1:504.889; 2_3:355.556
Q3,232.17,60.86,4.951,-0.34355,1.880e-2,0.0288,0.0088,5351.111,2.217e-4,2.217e-4,2.217e-4,3_4:6.628e-3; 3_2:9.083e-3,3_4:334.222; 3_2:391.111
Q4,92.76,33.42,5.066,-0.34211,2.960e-2,0.045,0.0142,5351.111,4.328e-4,4.328e-4,4.328e-4,4_3:6.628e-3,4_3:298.667
